reg_year,dat,dat_nm,count
2023,D15B,Rotherham,28
2023,D16B,North Yorkshire,48
2023,E01B,Leicestershire,33
2023,E02B,Leicester,23
2023,E03B,Rutland,1
2023,E04B,Derbyshire,61
2023,E05B,Derby,23
2023,E06B,Nottinghamshire,62
2023,E07B,Nottingham,41
2023,E08B,Lincolnshire,64
2023,E10B,North Northamptonshire,19
2023,E11B,North Northamptonshire,29
2023,F01B,Shropshire,14
2023,F02B,Telford and Wrekin,12
2023,F03B,Staffordshire,35
2023,F04B,Stoke-on-Trent,14
2023,F05B,Birmingham,136
2023,F06B,Coventry,30
2023,F07B,Dudley,17
2023,F08B,Herefordshire,14
2023,F09B,Sandwell,9
2023,F10B,Solihull,9
2023,F11B,Walsall,19
2023,F12B,Warwickshire,42
2023,F13B,Wolverhampton,33
2023,F14B,Worcestershire,41
2023,G02B,Luton,12
2023,G03B,Cambridgeshire,30
2023,G04B,Peterborough,23
2023,G05B,Essex,87
2023,G06B,Southend-on-Sea,19
2023,G07B,Thurrock,7
2023,G08B,Hertfordshire,55
2023,G09B,Norfolk,61
2023,G10B,Suffolk,37
2023,H01B,Barking and Dagenham,10
2023,H02B,Havering,10
2023,H03B,Camden,16
2023,H04B,Islington,15
2023,H06B,Hackney,22
2023,H07B,Lambeth,22
2023,H08B,Lewisham,19
2023,H09B,Southwark,23
2023,H10B,Redbridge,10
2023,H11B,Waltham Forest,11
2023,H12B,Barnet,13
2023,H13B,Bexley,9
2023,H14B,Brent,16
2023,H15B,Bromley,15
2023,H16B,Croydon,14
2023,H17B,Ealing,19
2023,H18B,Enfield,8
2023,H19B,Greenwich,6
2023,H20B,Hammersmith and Fulham,12
2023,H21B,Haringey,22
2023,H22B,Kensington and Chelsea,7
2023,H23B,Kingston upon Thames,8
2023,H24B,Merton,8
2023,H25B,Newham,11
2023,H26B,Richmond upon Thames,6
2023,H27B,Sutton,14
2023,H28B,Tower Hamlets,16
2023,H29B,Wandsworth,18
2023,H30B,Westminster,10
2023,H31B,Harrow,5
2023,H32B,Hillingdon,13
2023,H33B,Hounslow,8
2023,J01B,Bracknell Forest,12
2023,J02B,Reading,9
2023,J03B,Slough,12
2023,J04B,West Berkshire,6
2023,J05B,Windsor and Maidenhead,1
2023,J06B,Wokingham,6
2023,J08B,Milton Keynes,16
2023,J09B,Oxfordshire,22
2023,J10B,Brighton and Hove,37
2023,J11B,East Sussex,34
2023,J12B,West Sussex,42
2023,J13B,Kent,85
2023,J14B,Medway,21
2023,J15B,Hampshire,54
2023,J16B,Portsmouth,21
2023,J17B,Southampton,13
2023,J18B,Isle of Wight,11
2023,J19B,Surrey,49
2023,J20B,Buckinghamshire,25
2023,K01B,Bath and North East Somerset,19
2023,K02B,Bristol,54
2023,K03B,South Gloucestershire,9
2023,K04B,North Somerset,14
2023,K08B,Devon,53
2023,K09B,Plymouth,19
2023,K10B,Torbay,10
2023,K11B,Swindon,6
2023,K12B,Wiltshire,25
2023,K13B,Cornwall & Isles of Scilly,56
2023,K14B,Gloucestershire,41
2023,K16B,"Bournemouth, Christchurch and Poole",57
2023,K17B,Dorset,25
2023,K18B,Somerset,43
