reg_year,dat,dat_nm,count
2023,B10B,St Helens,24
2023,B11B,Knowsley,16
2023,B12B,Tameside,17
2023,B13B,Oldham,15
2023,B14B,Bolton,28
2023,B15B,Bury,17
2023,B17B,Liverpool,68
2023,B18B,Manchester,76
2023,B19B,Sefton,28
2023,B21B,Stockport,26
2023,B22B,Wigan,31
2023,B23B,Cumberland,36
2023,B24B,Westmorland and Furness,33
2023,D01B,Kingston upon Hull,32
2023,D02B,East Riding of Yorkshire,14
2023,D03B,Calderdale,25
2023,D04B,Kirklees,36
2023,D06B,York,19
2023,D07B,North Lincolnshire,9
2023,D08B,North East Lincolnshire,10
2023,D09B,Barnsley,28
2023,D10B,Wakefield,37
2023,D11B,Sheffield,58
2023,D12B,Leeds,79
2023,D13B,Bradford,63
2023,D14B,Doncaster,35
2023,D15B,Rotherham,30
2023,D16B,North Yorkshire,59
2023,E01B,Leicestershire,40
2023,E02B,Leicester,25
2023,E03B,Rutland,2
2023,E04B,Derbyshire,66
2023,E05B,Derby,20
2023,E06B,Nottinghamshire,47
2023,E07B,Nottingham,35
2023,E08B,Lincolnshire,64
2023,E10B,North Northamptonshire,26
2023,E11B,North Northamptonshire,32
2023,F01B,Shropshire,15
2023,F02B,Telford and Wrekin,11
2023,F03B,Staffordshire,45
2023,F04B,Stoke-on-Trent,15
2023,F05B,Birmingham,142
2023,F06B,Coventry,35
2023,F07B,Dudley,20
2023,F08B,Herefordshire,16
2023,F09B,Sandwell,13
2023,F10B,Solihull,9
2023,F11B,Walsall,19
2023,F12B,Warwickshire,48
2023,F13B,Wolverhampton,32
2023,F14B,Worcestershire,47
2023,G02B,Luton,13
2023,G03B,Cambridgeshire,42
2023,G04B,Peterborough,22
2023,G05B,Essex,98
2023,G06B,Southend-on-Sea,18
2023,G07B,Thurrock,5
2023,G08B,Hertfordshire,64
2023,G09B,Norfolk,51
2023,G10B,Suffolk,39
2023,H01B,Barking and Dagenham,8
2023,H02B,Havering,13
2023,H03B,Camden,14
2023,H04B,Islington,13
2023,H06B,Hackney,24
2023,H07B,Lambeth,19
2023,H08B,Lewisham,22
2023,H09B,Southwark,25
2023,H10B,Redbridge,12
2023,H11B,Waltham Forest,11
2023,H12B,Barnet,13
2023,H13B,Bexley,7
2023,H14B,Brent,15
2023,H15B,Bromley,24
2023,H16B,Croydon,15
2023,H17B,Ealing,21
2023,H18B,Enfield,11
2023,H19B,Greenwich,10
2023,H20B,Hammersmith and Fulham,13
2023,H21B,Haringey,23
2023,H22B,Kensington and Chelsea,10
2023,H23B,Kingston upon Thames,8
2023,H24B,Merton,7
2023,H25B,Newham,12
2023,H26B,Richmond upon Thames,6
2023,H27B,Sutton,14
2023,H28B,Tower Hamlets,15
2023,H29B,Wandsworth,20
2023,H30B,Westminster,8
2023,H31B,Harrow,6
2023,H32B,Hillingdon,14
2023,H33B,Hounslow,9
2023,J01B,Bracknell Forest,12
2023,J02B,Reading,12
2023,J03B,Slough,12
2023,J04B,West Berkshire,8
2023,J05B,Windsor and Maidenhead,2
2023,J06B,Wokingham,8
2023,J08B,Milton Keynes,16
2023,J09B,Oxfordshire,23
2023,J10B,Brighton and Hove,43
2023,J11B,East Sussex,40
2023,J12B,West Sussex,49
2023,J13B,Kent,89
2023,J14B,Medway,26
2023,J15B,Hampshire,70
2023,J16B,Portsmouth,22
2023,J17B,Southampton,13
2023,J18B,Isle of Wight,11
2023,J19B,Surrey,59
2023,J20B,Buckinghamshire,32
2023,K01B,Bath and North East Somerset,21
2023,K02B,Bristol,57
2023,K03B,South Gloucestershire,14
2023,K04B,North Somerset,19
2023,K08B,Devon,67
2023,K09B,Plymouth,18
2023,K10B,Torbay,11
2023,K11B,Swindon,6
2023,K12B,Wiltshire,31
2023,K13B,Cornwall & Isles of Scilly,65
2023,K14B,Gloucestershire,48
2023,K16B,"Bournemouth, Christchurch and Poole",59
2023,K17B,Dorset,25
2023,K18B,Somerset,39
