period,area_code,area_name,age,count
2022,E10000025,Oxfordshire,1958,42
2022,E10000027,Somerset,1702,33
2022,E10000028,Staffordshire,2267,45
2022,E10000029,Suffolk,1978,42
2022,E10000030,Surrey,2089,39
2022,E10000031,Warwickshire,1587,33
2022,E10000032,West Sussex,1471,30
2022,E10000034,Worcestershire,1801,36
2023,E06000001,Hartlepool,619,14
2023,E06000002,Middlesbrough,1238,28
2023,E06000003,Redcar and Cleveland,1092,22
2023,E06000004,Stockton-on-Tees,1018,20
2023,E06000005,Darlington,456,9
2023,E06000006,Halton,1200,22
2023,E06000007,Warrington,1130,24
2023,E06000008,Blackburn with Darwen,1433,28
2023,E06000009,Blackpool,1846,38
2023,E06000010,"Kingston upon Hull, City of",2332,45
2023,E06000011,East Riding of Yorkshire,1086,21
2023,E06000012,North East Lincolnshire,887,18
2023,E06000013,North Lincolnshire,461,8
2023,E06000014,York,457,8
2023,E06000015,Derby,922,19
2023,E06000016,Leicester,2352,48
2023,E06000017,Rutland,146,3
2023,E06000018,Nottingham,1673,30
2023,E06000019,"Herefordshire, County of",410,9
2023,E06000020,Telford and Wrekin,594,12
2023,E06000021,Stoke-on-Trent,1705,34
2023,E06000022,Bath and North East Somerset,616,11
2023,E06000023,"Bristol, City of",2780,54
2023,E06000024,North Somerset,772,14
2023,E06000025,South Gloucestershire,400,9
2023,E06000026,Plymouth,1273,24
2023,E06000027,Torbay,825,15
2023,E06000030,Swindon,863,17
2023,E06000031,Peterborough,1304,25
2023,E06000032,Luton,889,16
2023,E06000033,Southend-on-Sea,886,17
2023,E06000034,Thurrock,649,12
2023,E06000035,Medway,1065,22
2023,E06000036,Bracknell Forest,92,2
2023,E06000037,West Berkshire,287,5
2023,E06000038,Reading,398,8
2023,E06000039,Slough,823,15
2023,E06000040,Windsor and Maidenhead,334,6
2023,E06000041,Wokingham,416,8
2023,E06000042,Milton Keynes,789,15
2023,E06000043,Brighton and Hove,2158,41
2023,E06000044,Portsmouth,766,14
2023,E06000045,Southampton,1053,22
2023,E06000046,Isle of Wight,266,5
2023,E06000047,County Durham,2732,56
2023,E06000049,Cheshire East,1522,32
2023,E06000050,Cheshire West and Chester,2170,41
2023,E06000051,Shropshire,823,17
2023,E06000052,Cornwall & Isles of Scily,2269,44
2023,E06000054,Wiltshire,1195,22
2023,E06000055,Bedford,378,8
2023,E06000056,Central Bedfordshire,446,9
2023,E06000057,Northumberland,841,17
2023,E06000058,"Bournemouth, Christchurch and Poole",1855,35
2023,E06000059,Dorset,1541,29
2023,E06000060,Buckinghamshire,1098,24
2023,E06000061,North Northamptonshire,1476,29
2023,E06000062,West Northamptonshire,754,14
2023,E08000001,Bolton,3000,61
2023,E08000002,Bury,991,18
2023,E08000003,Manchester,4304,84
2023,E08000004,Oldham,1649,31
2023,E08000005,Rochdale,2491,46
2023,E08000006,Salford,1952,41
2023,E08000007,Stockport,1615,31
2023,E08000008,Tameside,1606,30
2023,E08000009,Trafford,1250,23
2023,E08000010,Wigan,2879,54
2023,E08000011,Knowsley,1532,30
2023,E08000012,Liverpool,6603,134
2023,E08000013,St. Helens,1383,26
2023,E08000014,Sefton,2572,52
2023,E08000015,Wirral,3694,73
2023,E08000016,Barnsley,1758,33
2023,E08000017,Doncaster,1991,40
2023,E08000018,Rotherham,1370,28
2023,E08000019,Sheffield,3241,66
2023,E08000021,Newcastle upon Tyne,2133,42
2023,E08000022,North Tyneside,754,16
2023,E08000023,South Tyneside,550,10
2023,E08000024,Sunderland,1277,26
2023,E08000025,Birmingham,5913,121
2023,E08000026,Coventry,1661,33
2023,E08000027,Dudley,1202,25
2023,E08000028,Sandwell,1018,22
2023,E08000029,Solihull,744,14
2023,E08000030,Walsall,970,21
2023,E08000031,Wolverhampton,1326,26
2023,E08000032,Bradford,3336,59
2023,E08000033,Calderdale,1134,21
2023,E08000034,Kirklees,2786,54
2023,E08000035,Leeds,4085,78
2023,E08000036,Wakefield,1484,31
2023,E08000037,Gateshead,769,16
2023,E09000002,Barking and Dagenham,1300,23
2023,E09000003,Barnet,1467,26
2023,E09000004,Bexley,991,18
2023,E09000005,Brent,1434,27
2023,E09000006,Bromley,681,13
2023,E09000007,Camden,2184,37
2023,E09000008,Croydon,1720,30
2023,E09000009,Ealing,1110,20
2023,E09000010,Enfield,1445,27
2023,E09000011,Greenwich,947,17
2023,E09000012,Hackney,1981,36
2023,E09000013,Hammersmith and Fulham,1277,22
2023,E09000014,Haringey,1247,23
2023,E09000015,Harrow,773,16
2023,E09000016,Havering,573,11
2023,E09000017,Hillingdon,1527,30
2023,E09000018,Hounslow,890,18
2023,E09000019,Islington,2146,37
2023,E09000020,Kensington and Chelsea,1017,17
2023,E09000021,Kingston upon Thames,585,11
2023,E09000022,Lambeth,2123,36
2023,E09000023,Lewisham,1680,30
2023,E09000024,Merton,711,12
2023,E09000025,Newham,1479,29
2023,E09000026,Redbridge,851,15
2023,E09000027,Richmond upon Thames,592,11
2023,E09000028,Southwark,2004,35
2023,E09000029,Sutton,559,10
2023,E09000030,Tower Hamlets,1589,29
2023,E09000031,Waltham Forest,1046,20
2023,E09000032,Wandsworth,1123,20
2023,E09000033,Westminster,724,13
2023,E10000003,Cambridgeshire,1327,27
2023,E10000006,Cumbria,2910,59
2023,E10000007,Derbyshire,1822,37
2023,E10000008,Devon,2275,45
2023,E10000011,East Sussex,3217,62
2023,E10000012,Essex,3693,76
2023,E10000013,Gloucestershire,1893,39
2023,E10000014,Hampshire,2482,49
2023,E10000015,Hertfordshire,3466,61
2023,E10000016,Kent,5631,105
2023,E10000017,Lancashire,7692,158
2023,E10000018,Leicestershire,1726,35
2023,E10000019,Lincolnshire,2155,43
2023,E10000020,Norfolk,3880,72
2023,E10000023,North Yorkshire,2326,48
2023,E10000024,Nottinghamshire,1957,42
2023,E10000025,Oxfordshire,1885,39
2023,E10000027,Somerset,1460,29
2023,E10000028,Staffordshire,2171,43
2023,E10000029,Suffolk,2663,53
2023,E10000030,Surrey,2968,56
2023,E10000031,Warwickshire,1343,26
2023,E10000032,West Sussex,2303,47
2023,E10000034,Worcestershire,1751,35
